MRI_session,Scan,MeanSNR,MeanFD,MaxFD,PctScrub,MinsLeft,FDpostScrub,PctScrub.5,MinsLeft.5,MeanDvarsPre,MeanDvarsPost,CorrelFDPre,CorrelFDPost
23217,rest_AP_01,19.43,0.1262,0.307,0.33,7,0.12,0,7.1,311.1,413.2,0.7518,-0.012
23217,rest_PA_01,18.84,0.2638,6.647,8.58,6.5,0.12,6.9,6.6,351.2,436.8,0.9644,-0.381
,,,,,,,,,,,,,
23220,rest_AP_01,19.38,0.1951,1.966,11.1,6.3,0.15,3.53,6.8,329.2,429.9,0.9402,-0.868
23220,rest_PA_01,19.28,0.1544,0.7131,3.7,6.8,0.14,0.16,7.1,316,452.6,0.8572,-0.419
,,,,,,,,,,,,,
23303,rest_AP_01,19.4,0.2554,4.551,11.6,6.2,0.14,6.73,6.6,401.4,402.5,0.9581,-0.795
23303,rest_PA_01,18.89,0.295,5.775,17.6,5.8,0.16,8.41,6.5,424.3,417.7,0.952,-0.766
,,,,,,,,,,,,,
23321,rest_AP_01,17.88,0.2652,3.035,39.5,4.2,0.17,4.2,6.8,343.5,460.9,0.8833,-0.619
23321,rest_PA_01,17.46,0.456,1.465,63.9,2.5,0.16,38.8,4.3,440,466,0.9682,-0.225
,,,,,,,,,,,,,
23329,rest_AP_01,20.13,0.132,0.5091,0.67,7,0.13,0.33,7,345.4,431.3,0.7336,-0.321
23329,rest_PA_01,19.69,0.1275,1.003,2.69,6.9,0.11,1.01,7,346.4,446,0.891,-0.526
,,,,,,,,,,,,,
23358,rest_AP_01,18.89,0.2959,1.057,42.5,4,0.18,10.1,6.3,425.5,434.3,0.8763,-0.489
23358,rest_PA_01,18.68,0.2388,0.8816,30.6,4.9,0.18,1.51,7,393.9,445.6,0.8327,-0.38
,,,,,,,,,,,,,
23359,rest_AP_01,18.84,0.1406,1.32,4.2,6.8,0.12,0.5,7,365.5,423.3,0.7617,-0.657
23359,rest_PA_01,18.79,0.2601,1.476,32.4,4.8,0.16,9.42,6.4,418.1,445.2,0.8852,-0.596
,,,,,,,,,,,,,
23379,rest_AP_01,18.74,0.2264,1.485,27.9,5.1,0.16,1.17,7,374.9,504.8,0.7855,-0.339
23379,rest_PA_01,18.26,0.3068,2.78,48.3,3.6,0.15,11.6,6.2,400.6,516.7,0.9188,-0.51
,,,,,,,,,,,,,
23496,rest_AP_01,20.38,0.1581,1.697,3.87,6.8,0.13,2.35,6.9,348.9,418.7,0.89,-0.739
23496,rest_PA_01,19.58,0.3074,13.91,11.9,6.2,0.12,7.23,6.6,394.5,446.9,0.9422,-0.61
,,,,,,,,,,,,,
23527,rest_AP_01,20.24,0.1245,0.9213,4.2,6.8,0.11,1.17,7,347.6,391.9,0.9019,-0.706
23527,rest_PA_01,19.25,0.2141,7.534,11.9,6.2,0.12,3.7,6.8,388.3,410,0.9602,-0.719
,,,,,,,,,,,,,
23529,rest_AP_01,25.73,0.2795,1.337,37,4.4,0.17,9.59,6.4,393.8,450.1,0.8765,-0.61
23529,rest_PA_01,26.09,0.3087,1.487,41.5,4.1,0.17,14.1,6.1,407.7,453.6,0.8509,-0.534
,,,,,,,,,,,,,
23542,rest_AP_01,23.49,0.1485,1.771,6.22,6.6,0.11,2.86,6.9,336.7,453.5,0.9222,-0.818
23542,rest_PA_01,22.35,0.3518,12.43,17.8,5.8,0.12,7.91,6.5,386.1,468.8,0.9402,-0.667
,,,,,,,,,,,,,
23556,rest_AP_01,24.54,0.1023,1.109,2.02,6.9,0.09,0.5,7,344,407.6,0.8206,-0.512
23556,rest_PA_01,23.63,0.0849,0.8511,1.17,7,0.08,0.33,7,347.9,435.1,0.6406,-0.574
,,,,,,,,,,,,,
23567,rest_AP_01,25.19,0.107,0.2891,0,7.1,0.1,0,7.1,322.1,433,0.8919,-0.218
23567,rest_PA_01,24.13,0.1101,0.2764,0,7.1,0.11,0,7.1,325.3,454.6,0.8892,-0.244
,,,,,,,,,,,,,
23572,rest_AP_01,21.95,0.2352,0.5909,30.4,4.9,0.17,0.67,7,373.6,471.6,0.8955,-0.219
23572,rest_PA_01,21.71,0.2245,0.4864,29.4,5,0.16,0,7.1,366.3,486.5,0.9033,-0.219
,,,,,,,,,,,,,
23585,rest_AP_01,23.41,0.1841,0.8529,14.4,6,0.14,2.02,6.9,392.3,430.4,0.8764,-0.537
23585,rest_PA_01,22.51,0.1957,1.3,18.3,5.8,0.14,3.53,6.8,398.7,443.2,0.9196,-0.586
,,,,,,,,,,,,,
23582,rest_AP_01,21.99,0.094,0.2677,0,7.1,0.09,0,7.1,355.3,437.4,0.6992,-0.215
23582,rest_PA_01,22.09,0.0991,0.317,0.67,7,0.09,0,7.1,353,452.1,0.7617,-0.242
,,,,,,,,,,,,,
23644,rest_AP_01,26.25,0.0925,0.4318,0.16,7.1,0.09,0,7.1,346.1,402.9,0.3,-0.33
23644,rest_PA_01,25.74,0.0861,0.2656,0,7.1,0.08,0,7.1,342.2,422.2,0.2973,-0.274
,,,,,,,,,,,,,
23237,rest_AP_01,21.73,0.1577,0.4458,6.06,6.6,0.14,0,7.1,311.6,385.7,0.8993,-0.245
23237,rest_PA_01,21.43,0.1552,0.4976,4.71,6.7,0.14,0,7.1,317,418.7,0.8775,-0.256
,,,,,,,,,,,,,
23277,rest_AP_01,16.19,0.1775,8.94,2.35,6.9,0.11,1.85,6.9,429.2,413.1,0.9725,-0.804
23277,rest_PA_01,15.48,0.1477,8.204,1.85,6.9,0.1,1.51,7,412.6,425,0.9422,-0.684
,,,,,,,,,,,,,
23279,rest_AP_01,19.16,0.2878,1.408,44.1,3.9,0.17,9.76,6.4,394.5,421.5,0.8737,-0.346
23279,rest_PA_01,19.73,0.4111,2.214,63.4,2.5,0.18,27.9,5.1,475.9,398.7,0.8752,-0.468
,,,,,,,,,,,,,
23290,rest_AP_01,13.42,0.3415,2.005,52.3,3.3,0.16,19.1,5.7,469.2,451.6,0.8862,-0.576
23290,rest_PA_01,12.73,0.4123,2.91,56.7,3,0.16,28.4,5,531.9,454.8,0.9495,-0.676
,,,,,,,,,,,,,
23310,rest_AP_01,20.16,0.2684,1.066,42,4.1,0.17,2.86,6.9,372.9,445.7,0.898,-0.296
23310,rest_PA_01,19.87,0.309,1.029,50.3,3.5,0.17,11.4,6.3,397,468.6,0.9308,-0.279
,,,,,,,,,,,,,
23398,rest_AP_01,19.44,0.127,0.4137,0.5,7,0.12,0,7.1,321.8,432.3,0.9134,-0.163
23398,rest_PA_01,19.3,0.1399,0.586,1.51,7,0.13,0.33,7,331.8,446.1,0.8015,-0.411
,,,,,,,,,,,,,
23453,rest_AP_01,19.17,0.1568,0.3588,2.86,6.9,0.15,0,7.1,367.9,440.4,0.8306,-0.157
23453,rest_PA_01,18.53,0.1808,0.4099,13.1,6.1,0.15,0,7.1,373.6,461.8,0.7429,-0.114
,,,,,,,,,,,,,
23475,rest_AP_01,19.32,0.171,0.5406,6.39,6.6,0.15,0.33,7,339.7,449.9,0.7174,-0.278
23475,rest_PA_01,19.05,0.1765,0.6706,7.07,6.6,0.16,0.5,7,343,468.5,0.8635,-0.412
,,,,,,,,,,,,,
23479,rest_AP_01,21.4,0.239,2.131,22,5.5,0.13,11.2,6.3,381.3,404.7,0.9539,-0.755
23479,rest_PA_01,20.99,0.0939,0.4523,1.51,7,0.08,0,7.1,308.7,428.4,0.7106,-0.488
,,,,,,,,,,,,,
23484,rest_AP_01,20.08,0.2204,4.38,8.24,6.5,0.09,5.21,6.7,386.8,391,0.9681,-0.861
23484,rest_PA_01,19.72,0.1148,3.898,1.51,7,0.09,1.17,7,334.7,424.7,0.9435,-0.722
,,,,,,,,,,,,,
23493,rest_AP_01,19.62,0.2784,1.031,42.5,4,0.18,3.36,6.8,346.4,445.3,0.9234,-0.36
23493,rest_PA_01,19.82,0.236,1.882,21,5.6,0.18,3.03,6.9,342.5,464.8,0.913,-0.595
,,,,,,,,,,,,,
23543,rest_AP_01,23.78,0.2627,1.769,29.4,5,0.17,7.23,6.6,381.2,484.7,0.9142,-0.726
23543,rest_PA_01,23.36,0.27,2.184,29.7,4.9,0.17,9.93,6.4,379.2,493.2,0.8519,-0.685
,,,,,,,,,,,,,
23547,rest_AP_01,16.18,0.3791,2.287,54,3.2,0.19,21.2,5.6,483.5,474.3,0.8999,-0.676
23547,rest_PA_01,16.02,0.369,2.291,56.5,3,0.2,17.5,5.8,496.1,498.3,0.9204,-0.706
,,,,,,,,,,,,,
23584,rest_AP_01,22.06,0.1815,0.6767,14.3,6,0.14,1.01,7,363.3,427.5,0.8101,-0.493
23584,rest_PA_01,21.21,0.2023,1.136,20,5.6,0.13,4.88,6.7,379.4,436.2,0.832,-0.688
,,,,,,,,,,,,,
23617,rest_AP_01,23.88,0.1478,0.6552,3.19,6.8,0.13,0.67,7,349.4,443.6,0.6983,-0.525
23617,rest_PA_01,23.6,0.1276,0.4036,2.18,6.9,0.12,0,7.1,337,456.7,0.7236,-0.361
,,,,,,,,,,,,,
23618,rest_AP_01,23.18,0.5309,12.54,46.9,3.7,0.14,22.8,5.4,456.3,463.2,0.9398,-0.679
23618,rest_PA_01,24.9,0.6156,14.19,53,3.3,0.15,37,4.4,473.6,437.3,0.8918,-0.684
,,,,,,,,,,,,,
23774,rest_AP_01,18.91,0.1241,0.2752,0,7.1,0.12,0,7.1,351.9,408,0.7432,0.0281
23774,rest_PA_01,17.77,0.176,2.29,9.76,6.4,0.1,6.39,6.6,395.2,415.3,0.9606,-0.877
,,,,,,,,,,,,,
23646,rest_AP_01,21.31,0.0745,0.3636,0.16,7.1,0.07,0,7.1,367.7,415.7,0.4017,-0.342
23646,rest_PA_01,20.29,0.0848,1.631,2.69,6.9,0.06,2.18,6.9,381.9,432.6,0.9423,-0.794
,,,,,,,,,,,,,
23650,rest_AP_01,27.19,0.1136,0.3521,0.67,7,0.11,0,7.1,350.5,408.9,0.6955,-0.154
23650,rest_PA_01,26.88,0.0864,0.2274,0,7.1,0.08,0,7.1,343.2,423.9,0.5911,-0.244
,,,,,,,,,,,,,
23740,rest_AP_01,24.06,0.0926,1.605,1.01,7,0.08,0.84,7,351.7,411.6,0.9464,-0.801
23740,rest_PA_01,23.53,0.0939,1.082,2.69,6.9,0.08,1.17,7,349.9,433.5,0.7802,-0.703
,,,,,,,,,,,,,
23754,rest_AP_01,24.13,0.1056,1.691,2.86,6.9,0.08,1.51,7,320.9,438.5,0.918,-0.815
23754,rest_PA_01,23.97,0.1262,2.576,6.22,6.6,0.08,3.19,6.8,315.3,435.7,0.9614,-0.811
,,,,,,,,,,,,,
23763,rest_AP_01,24.66,0.1518,0.9054,9.42,6.4,0.12,0.84,7,428.6,430.3,0.6387,-0.345
23763,rest_PA_01,23.65,0.1294,1.285,5.05,6.7,0.1,1.17,7,396.4,439,0.7767,-0.591
,,,,,,,,,,,,,
23687,rest_AP_01,25.39,0.106,0.3829,1.01,7,0.1,0,7.1,354.8,411.4,0.5146,-0.374
23687,rest_PA_01,25.04,0.082,0.3913,0.5,7,0.08,0,7.1,348.3,422.9,0.3367,-0.242
,,,,,,,,,,,,,
23714,rest_AP_01,18.25,0.1251,3.266,3.19,6.8,0.09,2.02,6.9,375.5,454.7,0.9569,-0.789
23714,rest_PA_01,18.17,0.1373,2.077,5.05,6.7,0.1,2.52,6.9,380,455,0.9503,-0.751
,,,,,,,,,,,,,
23684,rest_AP_01,21.65,0.2765,1.42,39,4.3,0.15,12.9,6.1,424.1,484.5,0.9302,-0.522
23684,rest_PA_01,21.6,0.3534,3.8,47.9,3.6,0.14,20.3,5.6,449.4,490.2,0.97,-0.074
,,,,,,,,,,,,,
23638,rest_AP_01,19,0.152,0.8806,4.37,6.8,0.13,1.01,7,377.6,468.5,0.8499,-0.605
23638,rest_PA_01,18.86,0.1659,1.336,7.07,6.6,0.13,3.03,6.9,379.2,466.2,0.925,-0.768
,,,,,,,,,,,,,
23750,rest_AP_01,20.88,0.1136,0.2882,0,7.1,0.11,0,7.1,383.4,423.6,0.511,-0.115
23750,rest_PA_01,20.57,0.1257,0.6464,1.17,7,0.12,0.5,7,379.9,451.8,0.7545,-0.49
,,,,,,,,,,,,,
23758,rest_AP_01,21.82,0.1994,3.075,11.6,6.2,0.14,4.71,6.7,424.6,395.5,0.9341,-0.806
23758,rest_PA_01,21.66,0.1937,2.051,14.4,6,0.12,6.56,6.6,426.8,415.4,0.8929,-0.711
,,,,,,,,,,,,,
23817,rest_AP_01,16.47,0.3013,0.7015,49.3,3.6,0.16,12.1,6.2,498.9,424.8,0.9611,-0.222
23817,rest_PA_01,16.14,0.2625,0.5712,42.7,4,0.16,2.52,6.9,488.7,436.7,0.969,-0.177
,,,,,,,,,,,,,
23198,rest_AP_01,20.18,0.1948,4.59,10.1,6.3,0.11,10.1,6.3,354.6,415.6,0.9515,-0.676
23198,rest_PA_01,19.92,0.2092,7.812,9.76,6.4,0.11,9.76,6.4,350,422.4,0.9616,-0.694
,,,,,,,,,,,,,
23621,rest_AP_01,24.41,0.1664,1.325,5.05,6.7,0.15,0.84,7,345.4,447.9,0.8393,-0.563
23621,rest_PA_01,23.95,0.167,2.83,4.54,6.7,0.13,2.69,6.9,348.6,462.1,0.9175,-0.821
,,,,,,,,,,,,,
23811,rest_AP_01,16.24,0.407,8.615,39.8,4.2,0.18,14.3,6,424.8,500.9,0.9646,-0.792
23811,rest_PA_01,15.61,0.4728,6.682,53.8,3.2,0.18,26.2,5.2,464.1,521.5,0.9663,-0.412